file,line,tag,text
src/__tests__/professional-onboarding-integration.test.tsx,49,button,""
src/__tests__/professional-onboarding-integration.test.tsx,73,button,""
src/__tests__/professional-onboarding-integration.test.tsx,74,button,""
src/__tests__/professional-onboarding-integration.test.tsx,336,button,""
src/app/consultations/page.tsx,176,button,""
src/app/consultations/page.tsx,224,button,""
src/app/consultations/page.tsx,240,button,""
src/app/consultations/page.tsx,252,button,""
src/components/__tests__/Button.test.tsx,7,button,""
src/components/__tests__/Button.test.tsx,13,button,""
src/components/__tests__/Button.test.tsx,20,button,""
src/components/__tests__/Button.test.tsx,26,button,""
src/components/__tests__/Button.test.tsx,29,button,""
src/components/acknowledgments/ProtectionAcknowledgment.tsx,53,button,""
src/components/AddLiabilityModal.tsx,113,select,""
src/components/AddLiabilityModal.tsx,135,input,""
src/components/AddLiabilityModal.tsx,148,input,""
src/components/AddLiabilityModal.tsx,161,select,""
src/components/AddLiabilityModal.tsx,185,textarea,""
src/components/AddLiabilityModal.tsx,195,button,""
src/components/AddLiabilityModal.tsx,198,button,""
src/components/admin/UXMetricsDashboard.tsx,165,button,""
src/components/admin/UXMetricsDashboard.tsx,178,button,""
src/components/admin/UXMetricsDashboard.tsx,389,button,""
src/components/admin/UXMetricsDashboard.tsx,392,button,""
src/components/admin/UXMetricsDashboard.tsx,395,button,""
src/components/admin/UXMetricsDashboard.tsx,398,button,""
src/components/ai/DocumentUploadExample.tsx,93,input,""
src/components/ai/DocumentUploadExample.tsx,129,button,""
src/components/alerts/AlertCenter.tsx,338,button,""
src/components/alerts/AlertCenter.tsx,353,button,""
src/components/alerts/AlertCenter.tsx,365,button,""
src/components/alerts/AlertCenter.tsx,378,button,""
src/components/alerts/AlertCenter.tsx,414,button,""
src/components/analytics/AnalyticsDashboard.tsx,241,select,""
src/components/analytics/AnalyticsDashboard.tsx,260,button,""
src/components/analytics/AnalyticsDashboard.tsx,420,button,""
src/components/analytics/AnalyticsDashboard.tsx,447,button,""
src/components/analytics/AnalyticsDashboard.tsx,615,button,""
src/components/analytics/AnalyticsDemo.tsx,162,button,""
src/components/analytics/AnalyticsDemo.tsx,176,button,""
src/components/analytics/AnalyticsDemo.tsx,181,button,""
src/components/analytics/AnalyticsDemo.tsx,190,button,""
src/components/AnnualReview.tsx,87,button,""
src/components/AnnualReview.tsx,90,button,""
src/components/AnnualReview.tsx,155,button,""
src/components/AnnualReview.tsx,158,button,""
src/components/AnnualReview.tsx,221,button,""
src/components/AnnualReview.tsx,224,button,""
src/components/AnnualReview.tsx,287,button,""
src/components/AnnualReview.tsx,295,button,""
src/components/AnnualReview.tsx,358,button,""
src/components/AnnualReview.tsx,364,button,""
src/components/assets/AssetCard.tsx,147,button,""
src/components/assets/DynamicAssetForm.tsx,61,input,""
src/components/assets/DynamicAssetForm.tsx,73,input,""
src/components/assets/DynamicAssetForm.tsx,79,input,""
src/components/assets/DynamicAssetForm.tsx,90,input,""
src/components/assets/DynamicAssetForm.tsx,96,textarea,""
src/components/assets/DynamicAssetForm.tsx,107,input,""
src/components/assets/DynamicAssetForm.tsx,127,input,""
src/components/assets/DynamicAssetForm.tsx,136,input,""
